Iters:  2 ; Mean IoU is 0.4326613248056253
Iters:  2 ; Mean IoU is 0.4326613248056253
Iters:  4 ; Mean IoU is 0.5468485589792207
Iters:  4 ; Mean IoU is 0.5468485589792207
Iters:  5 ; Mean IoU is 0.5531178342698302
Iters:  5 ; Mean IoU is 0.5531178342698302
Iters:  7 ; Mean IoU is 0.5899397403397227
Iters:  7 ; Mean IoU is 0.5899397403397227
Iters:  9 ; Mean IoU is 0.5883628875111243
Iters:  10 ; Mean IoU is 0.5932216587757404
Iters:  10 ; Mean IoU is 0.5932216587757404
Iters:  12 ; Mean IoU is 0.6289258691099501
Iters:  12 ; Mean IoU is 0.6289258691099501
Iters:  14 ; Mean IoU is 0.6118895752352034
Iters:  15 ; Mean IoU is 0.6409230842470731
Iters:  15 ; Mean IoU is 0.6409230842470731
Iters:  17 ; Mean IoU is 0.6493676922630305
Iters:  17 ; Mean IoU is 0.6493676922630305
Iters:  19 ; Mean IoU is 0.670831915756094
Iters:  19 ; Mean IoU is 0.670831915756094
Iters:  20 ; Mean IoU is 0.6595103433165084
Iters:  22 ; Mean IoU is 0.6352620948515177
Iters:  23 ; Mean IoU is 0.6674137835749768
Iters:  25 ; Mean IoU is 0.6818793878973418
Iters:  25 ; Mean IoU is 0.6818793878973418
Iters:  27 ; Mean IoU is 0.6714859880129246
Iters:  28 ; Mean IoU is 0.6822450591288514
Iters:  28 ; Mean IoU is 0.6822450591288514
Iters:  30 ; Mean IoU is 0.681796297255053
Iters:  32 ; Mean IoU is 0.684496142048142
Iters:  32 ; Mean IoU is 0.684496142048142
Iters:  33 ; Mean IoU is 0.6809117716717981
Iters:  35 ; Mean IoU is 0.6883555060568289
Iters:  35 ; Mean IoU is 0.6883555060568289
Iters:  37 ; Mean IoU is 0.6690101321416331
Iters:  38 ; Mean IoU is 0.6817227612654463
Iters:  40 ; Mean IoU is 0.6941685610945624
Iters:  40 ; Mean IoU is 0.6941685610945624
Iters:  41 ; Mean IoU is 0.6905954363712358
Iters:  43 ; Mean IoU is 0.6924443925185991
Iters:  45 ; Mean IoU is 0.6963861501409045
Iters:  45 ; Mean IoU is 0.6963861501409045
Iters:  46 ; Mean IoU is 0.6914365873452913
Iters:  48 ; Mean IoU is 0.6933966364542443
Iters:  50 ; Mean IoU is 0.6963162818889904
Iters:  51 ; Mean IoU is 0.7029414978598201
Iters:  51 ; Mean IoU is 0.7029414978598201
Iters:  53 ; Mean IoU is 0.6852587902715128
Iters:  55 ; Mean IoU is 0.6958167499714608
Iters:  56 ; Mean IoU is 0.7027620608941422
Iters:  58 ; Mean IoU is 0.6971280093096115
Iters:  60 ; Mean IoU is 0.7012542724960145
Iters:  61 ; Mean IoU is 0.6955914481592208
Iters:  63 ; Mean IoU is 0.6990885052401139
Iters:  64 ; Mean IoU is 0.7016757196905483
Iters:  66 ; Mean IoU is 0.7032972797455685
Iters:  66 ; Mean IoU is 0.7032972797455685
Iters:  68 ; Mean IoU is 0.703090446094139
Iters:  69 ; Mean IoU is 0.7056563089655802
Iters:  69 ; Mean IoU is 0.7056563089655802
Iters:  71 ; Mean IoU is 0.7002067691717041
Iters:  73 ; Mean IoU is 0.7055250029762397
Iters:  74 ; Mean IoU is 0.6992078259051249
Iters:  76 ; Mean IoU is 0.6993306259166673
Iters:  78 ; Mean IoU is 0.7030986886133166
Iters:  79 ; Mean IoU is 0.7023558238663326
Iters:  81 ; Mean IoU is 0.7036694701835602
Iters:  82 ; Mean IoU is 0.7022053071173535
Iters:  84 ; Mean IoU is 0.7007189030650639
Iters:  86 ; Mean IoU is 0.7049104647070598
Iters:  87 ; Mean IoU is 0.7005783814215976
Iters:  89 ; Mean IoU is 0.7006140222939055
Iters:  91 ; Mean IoU is 0.7053372139355963
Iters:  92 ; Mean IoU is 0.703867921002816
Iters:  94 ; Mean IoU is 0.7024690407961973
Iters:  96 ; Mean IoU is 0.6999105078592339
Iters:  97 ; Mean IoU is 0.7033005473696191
Iters:  99 ; Mean IoU is 0.7041578104202264
Iters:  100 ; Mean IoU is 0.70306361093472
Iters:  102 ; Mean IoU is 0.7059906954442107
Iters:  102 ; Mean IoU is 0.7059906954442107
Iters:  104 ; Mean IoU is 0.7047684840807361
Iters:  105 ; Mean IoU is 0.7052491353171495
Iters:  107 ; Mean IoU is 0.7008415721000819
Iters:  109 ; Mean IoU is 0.7010343344070888
Iters:  110 ; Mean IoU is 0.7098940078230324
Iters:  110 ; Mean IoU is 0.7098940078230324
Iters:  112 ; Mean IoU is 0.7080882721102196
Iters:  114 ; Mean IoU is 0.7048062022760853
Iters:  115 ; Mean IoU is 0.7046485233524756
Iters:  117 ; Mean IoU is 0.7055964154176823
Iters:  119 ; Mean IoU is 0.7087414900665073
Iters:  120 ; Mean IoU is 0.7083668567396086
Iters:  122 ; Mean IoU is 0.7102447186472257
Iters:  122 ; Mean IoU is 0.7102447186472257
Iters:  123 ; Mean IoU is 0.7075940707247707
Iters:  125 ; Mean IoU is 0.7079281834149005
Iters:  127 ; Mean IoU is 0.7121314917079123
Iters:  127 ; Mean IoU is 0.7121314917079123
Iters:  128 ; Mean IoU is 0.7095652229261432
Iters:  130 ; Mean IoU is 0.7109877632950395
Iters:  132 ; Mean IoU is 0.7103417960096595
Iters:  133 ; Mean IoU is 0.7122039412780258
Iters:  133 ; Mean IoU is 0.7122039412780258
Iters:  135 ; Mean IoU is 0.7108056326035571
Iters:  137 ; Mean IoU is 0.7102828518880967
Iters:  138 ; Mean IoU is 0.7057935300775994
Iters:  140 ; Mean IoU is 0.7031037608171177
Iters:  141 ; Mean IoU is 0.7060855785264972
Iters:  143 ; Mean IoU is 0.709784524149343
Iters:  145 ; Mean IoU is 0.7114587383107068
Iters:  146 ; Mean IoU is 0.7113037266760974
