Iters:  2 ; Mean IoU is 0.4532467649522674
Iters:  2 ; Mean IoU is 0.4532467649522674
Iters:  4 ; Mean IoU is 0.5348647429583812
Iters:  4 ; Mean IoU is 0.5348647429583812
Iters:  5 ; Mean IoU is 0.533423162567885
Iters:  7 ; Mean IoU is 0.5635692210950285
Iters:  7 ; Mean IoU is 0.5635692210950285
Iters:  9 ; Mean IoU is 0.6033898534262286
Iters:  9 ; Mean IoU is 0.6033898534262286
Iters:  10 ; Mean IoU is 0.615034678861742
Iters:  10 ; Mean IoU is 0.615034678861742
Iters:  12 ; Mean IoU is 0.6230820422337482
Iters:  12 ; Mean IoU is 0.6230820422337482
Iters:  14 ; Mean IoU is 0.620721538118141
Iters:  15 ; Mean IoU is 0.6342336887164048
Iters:  15 ; Mean IoU is 0.6342336887164048
Iters:  17 ; Mean IoU is 0.6598243326407319
Iters:  17 ; Mean IoU is 0.6598243326407319
Iters:  19 ; Mean IoU is 0.6369484621060418
Iters:  20 ; Mean IoU is 0.6155941000524399
Iters:  22 ; Mean IoU is 0.6520919631600697
Iters:  23 ; Mean IoU is 0.6532302634361298
Iters:  25 ; Mean IoU is 0.6665661999178466
Iters:  25 ; Mean IoU is 0.6665661999178466
Iters:  27 ; Mean IoU is 0.6791616806473594
Iters:  27 ; Mean IoU is 0.6791616806473594
Iters:  28 ; Mean IoU is 0.6679475043815809
Iters:  30 ; Mean IoU is 0.6578029681883579
Iters:  32 ; Mean IoU is 0.6809306933059956
Iters:  32 ; Mean IoU is 0.6809306933059956
Iters:  33 ; Mean IoU is 0.6721988421837068
Iters:  35 ; Mean IoU is 0.6869550528790326
Iters:  35 ; Mean IoU is 0.6869550528790326
Iters:  37 ; Mean IoU is 0.6760731235201259
Iters:  38 ; Mean IoU is 0.6802571899979654
Iters:  40 ; Mean IoU is 0.6844170358280314
Iters:  41 ; Mean IoU is 0.6813318894056417
Iters:  43 ; Mean IoU is 0.677391322256757
Iters:  45 ; Mean IoU is 0.6709792284380642
Iters:  46 ; Mean IoU is 0.6803301700284838
Iters:  48 ; Mean IoU is 0.6857631794622481
Iters:  50 ; Mean IoU is 0.6882729765699124
Iters:  50 ; Mean IoU is 0.6882729765699124
Iters:  51 ; Mean IoU is 0.6810982340165496
Iters:  53 ; Mean IoU is 0.6897755065741
Iters:  53 ; Mean IoU is 0.6897755065741
Iters:  55 ; Mean IoU is 0.6909528865092904
Iters:  55 ; Mean IoU is 0.6909528865092904
Iters:  56 ; Mean IoU is 0.6877494212487519
Iters:  58 ; Mean IoU is 0.6920817885311964
Iters:  58 ; Mean IoU is 0.6920817885311964
Iters:  60 ; Mean IoU is 0.6896057555281192
Iters:  61 ; Mean IoU is 0.6914287428759175
Iters:  63 ; Mean IoU is 0.6961140584348462
Iters:  63 ; Mean IoU is 0.6961140584348462
Iters:  64 ; Mean IoU is 0.6945891346367712
Iters:  66 ; Mean IoU is 0.6929571836307031
Iters:  68 ; Mean IoU is 0.6974258772746701
Iters:  68 ; Mean IoU is 0.6974258772746701
Iters:  69 ; Mean IoU is 0.6982757799745598
Iters:  69 ; Mean IoU is 0.6982757799745598
Iters:  71 ; Mean IoU is 0.688533526457171
Iters:  73 ; Mean IoU is 0.6951355153209062
Iters:  74 ; Mean IoU is 0.6950199263945366
Iters:  76 ; Mean IoU is 0.6957631061916534
Iters:  78 ; Mean IoU is 0.6961251595103155
Iters:  79 ; Mean IoU is 0.6942521448868939
Iters:  81 ; Mean IoU is 0.698357149629129
Iters:  81 ; Mean IoU is 0.698357149629129
Iters:  82 ; Mean IoU is 0.6967364581784723
