Iters:  2 ; Mean IoU is 0.4903628666643622
Iters:  2 ; Mean IoU is 0.4903628666643622
Iters:  4 ; Mean IoU is 0.55756443139034
Iters:  4 ; Mean IoU is 0.55756443139034
Iters:  5 ; Mean IoU is 0.5685303151662557
Iters:  5 ; Mean IoU is 0.5685303151662557
Iters:  7 ; Mean IoU is 0.5596516627777046
Iters:  9 ; Mean IoU is 0.6134437229652697
Iters:  9 ; Mean IoU is 0.6134437229652697
Iters:  10 ; Mean IoU is 0.6266546282804845
Iters:  10 ; Mean IoU is 0.6266546282804845
Iters:  12 ; Mean IoU is 0.6296078166169276
Iters:  12 ; Mean IoU is 0.6296078166169276
Iters:  14 ; Mean IoU is 0.6358371528441756
Iters:  14 ; Mean IoU is 0.6358371528441756
Iters:  15 ; Mean IoU is 0.6482002794406516
Iters:  15 ; Mean IoU is 0.6482002794406516
Iters:  17 ; Mean IoU is 0.6643976917317532
Iters:  17 ; Mean IoU is 0.6643976917317532
Iters:  19 ; Mean IoU is 0.6315881098551588
Iters:  20 ; Mean IoU is 0.6467352737021377
Iters:  22 ; Mean IoU is 0.6588874183853648
Iters:  23 ; Mean IoU is 0.6709485267178467
Iters:  23 ; Mean IoU is 0.6709485267178467
Iters:  25 ; Mean IoU is 0.6745328147846413
Iters:  25 ; Mean IoU is 0.6745328147846413
Iters:  27 ; Mean IoU is 0.6765554290167204
Iters:  27 ; Mean IoU is 0.6765554290167204
Iters:  28 ; Mean IoU is 0.6715729964190695
Iters:  30 ; Mean IoU is 0.6664166437448719
Iters:  32 ; Mean IoU is 0.6816556049926705
Iters:  32 ; Mean IoU is 0.6816556049926705
Iters:  33 ; Mean IoU is 0.6705090384276178
Iters:  35 ; Mean IoU is 0.687493597251839
Iters:  35 ; Mean IoU is 0.687493597251839
Iters:  37 ; Mean IoU is 0.6811221151297779
Iters:  38 ; Mean IoU is 0.6839090282558944
Iters:  40 ; Mean IoU is 0.6887565592010162
Iters:  40 ; Mean IoU is 0.6887565592010162
Iters:  41 ; Mean IoU is 0.6857950277437368
Iters:  43 ; Mean IoU is 0.6853693305707718
Iters:  45 ; Mean IoU is 0.6645333160114284
Iters:  46 ; Mean IoU is 0.6873837853635162
Iters:  48 ; Mean IoU is 0.6877550852113482
Iters:  50 ; Mean IoU is 0.6896528563921769
Iters:  50 ; Mean IoU is 0.6896528563921769
Iters:  51 ; Mean IoU is 0.6833020352017508
Iters:  53 ; Mean IoU is 0.6929383084109242
Iters:  53 ; Mean IoU is 0.6929383084109242
Iters:  55 ; Mean IoU is 0.6876712198606113
Iters:  56 ; Mean IoU is 0.6871866237679435
Iters:  58 ; Mean IoU is 0.6944642647149463
Iters:  58 ; Mean IoU is 0.6944642647149463
Iters:  60 ; Mean IoU is 0.6927127825485402
Iters:  61 ; Mean IoU is 0.6969450003390922
Iters:  61 ; Mean IoU is 0.6969450003390922
Iters:  63 ; Mean IoU is 0.6929600768960599
Iters:  64 ; Mean IoU is 0.6989579979197394
Iters:  64 ; Mean IoU is 0.6989579979197394
Iters:  66 ; Mean IoU is 0.6984350193553831
Iters:  68 ; Mean IoU is 0.7016596409773653
Iters:  68 ; Mean IoU is 0.7016596409773653
Iters:  69 ; Mean IoU is 0.6970860785134116
Iters:  71 ; Mean IoU is 0.6994632024223534
Iters:  73 ; Mean IoU is 0.6950591414452341
Iters:  74 ; Mean IoU is 0.7008121030854381
Iters:  76 ; Mean IoU is 0.6955607450959634
Iters:  78 ; Mean IoU is 0.6983203856960837
Iters:  79 ; Mean IoU is 0.6973955735272239
Iters:  81 ; Mean IoU is 0.6982173688851445
Iters:  82 ; Mean IoU is 0.6928139013919956
Iters:  84 ; Mean IoU is 0.6963304427768744
Iters:  86 ; Mean IoU is 0.7004780300458127
Iters:  87 ; Mean IoU is 0.701421081386576
Iters:  89 ; Mean IoU is 0.7031888448781799
Iters:  89 ; Mean IoU is 0.7031888448781799
Iters:  91 ; Mean IoU is 0.6994606133454133
Iters:  92 ; Mean IoU is 0.7010020960764047
Iters:  94 ; Mean IoU is 0.699965235025384
Iters:  96 ; Mean IoU is 0.6986947928276399
Iters:  97 ; Mean IoU is 0.703432511912502
Iters:  97 ; Mean IoU is 0.703432511912502
Iters:  99 ; Mean IoU is 0.6995243236155166
Iters:  100 ; Mean IoU is 0.69840458873385
Iters:  102 ; Mean IoU is 0.7033587495745743
Iters:  104 ; Mean IoU is 0.7040671453282599
Iters:  104 ; Mean IoU is 0.7040671453282599
Iters:  105 ; Mean IoU is 0.6953939948047763
Iters:  107 ; Mean IoU is 0.7023678395507895
Iters:  109 ; Mean IoU is 0.7038807512703995
Iters:  110 ; Mean IoU is 0.703368180503785
Iters:  112 ; Mean IoU is 0.7020015641310071
Iters:  114 ; Mean IoU is 0.7077447663989529
Iters:  114 ; Mean IoU is 0.7077447663989529
Iters:  115 ; Mean IoU is 0.7070529943921119
Iters:  117 ; Mean IoU is 0.711242265702835
Iters:  117 ; Mean IoU is 0.711242265702835
Iters:  119 ; Mean IoU is 0.7083968314376934
Iters:  120 ; Mean IoU is 0.7061193975032735
Iters:  122 ; Mean IoU is 0.708055909035214
Iters:  123 ; Mean IoU is 0.7065763225548354
Iters:  125 ; Mean IoU is 0.7017179896296679
Iters:  127 ; Mean IoU is 0.7013042227285764
Iters:  128 ; Mean IoU is 0.7034425028694768
Iters:  130 ; Mean IoU is 0.7065629132737189
Iters:  132 ; Mean IoU is 0.704249242304635
Iters:  133 ; Mean IoU is 0.7075131774130093
Iters:  135 ; Mean IoU is 0.7059781154910036
Iters:  137 ; Mean IoU is 0.7089830461722573
Iters:  138 ; Mean IoU is 0.708779293488508
Iters:  140 ; Mean IoU is 0.7073023148633654
Iters:  141 ; Mean IoU is 0.706760463301461
Iters:  143 ; Mean IoU is 0.7041528768651862
Iters:  145 ; Mean IoU is 0.7061795909248737
Iters:  146 ; Mean IoU is 0.71088362678988
Iters:  148 ; Mean IoU is 0.7068432565374523
Iters:  150 ; Mean IoU is 0.7068367104837219
Iters:  151 ; Mean IoU is 0.7084045673498588
Iters:  153 ; Mean IoU is 0.7064744358996737
Iters:  155 ; Mean IoU is 0.7066908254252411
Iters:  156 ; Mean IoU is 0.7032806487184644
Iters:  158 ; Mean IoU is 0.7085024515383523
Iters:  160 ; Mean IoU is 0.7088326953519642
Iters:  161 ; Mean IoU is 0.7044121778483199
Iters:  163 ; Mean IoU is 0.7056750022455153
Iters:  164 ; Mean IoU is 0.7054672171556684
Iters:  166 ; Mean IoU is 0.7054331888282667
Iters:  168 ; Mean IoU is 0.7062851824070798
Iters:  169 ; Mean IoU is 0.7055780362749121
Iters:  171 ; Mean IoU is 0.7068538949624414
Iters:  173 ; Mean IoU is 0.7067102015664366
Iters:  174 ; Mean IoU is 0.7070213351197341
