Iters:  2 ; Mean IoU is 0.4821507050938189
Iters:  2 ; Mean IoU is 0.4821507050938189
Iters:  4 ; Mean IoU is 0.5291068273184545
Iters:  4 ; Mean IoU is 0.5291068273184545
Iters:  5 ; Mean IoU is 0.5654771806326535
Iters:  5 ; Mean IoU is 0.5654771806326535
Iters:  7 ; Mean IoU is 0.6003933509024468
Iters:  7 ; Mean IoU is 0.6003933509024468
Iters:  9 ; Mean IoU is 0.6131411410754252
Iters:  9 ; Mean IoU is 0.6131411410754252
Iters:  10 ; Mean IoU is 0.6184204540245902
Iters:  10 ; Mean IoU is 0.6184204540245902
Iters:  12 ; Mean IoU is 0.6246995291639335
Iters:  12 ; Mean IoU is 0.6246995291639335
Iters:  14 ; Mean IoU is 0.6394024571948576
Iters:  14 ; Mean IoU is 0.6394024571948576
Iters:  15 ; Mean IoU is 0.6379944665610136
Iters:  17 ; Mean IoU is 0.65513234076163
Iters:  17 ; Mean IoU is 0.65513234076163
Iters:  19 ; Mean IoU is 0.658292428230007
Iters:  19 ; Mean IoU is 0.658292428230007
Iters:  20 ; Mean IoU is 0.6566364898784749
Iters:  22 ; Mean IoU is 0.6599334554269758
Iters:  22 ; Mean IoU is 0.6599334554269758
Iters:  23 ; Mean IoU is 0.6546111007278552
Iters:  25 ; Mean IoU is 0.6680469203088006
Iters:  25 ; Mean IoU is 0.6680469203088006
Iters:  27 ; Mean IoU is 0.6609553611873701
Iters:  28 ; Mean IoU is 0.6609824518586813
Iters:  30 ; Mean IoU is 0.663688149192736
Iters:  32 ; Mean IoU is 0.6740946627493418
Iters:  32 ; Mean IoU is 0.6740946627493418
Iters:  33 ; Mean IoU is 0.6721083654817329
Iters:  35 ; Mean IoU is 0.682250236904184
Iters:  35 ; Mean IoU is 0.682250236904184
Iters:  37 ; Mean IoU is 0.680680492183431
Iters:  38 ; Mean IoU is 0.6763257161159354
Iters:  40 ; Mean IoU is 0.6812037966944892
Iters:  41 ; Mean IoU is 0.6789792608448464
Iters:  43 ; Mean IoU is 0.6739910829154732
Iters:  45 ; Mean IoU is 0.6836082992722181
Iters:  45 ; Mean IoU is 0.6836082992722181
Iters:  46 ; Mean IoU is 0.6869535925086923
Iters:  46 ; Mean IoU is 0.6869535925086923
Iters:  48 ; Mean IoU is 0.685180701040907
Iters:  50 ; Mean IoU is 0.6925455480487985
Iters:  50 ; Mean IoU is 0.6925455480487985
Iters:  51 ; Mean IoU is 0.6911911224940774
Iters:  53 ; Mean IoU is 0.6878706011248215
Iters:  55 ; Mean IoU is 0.6823664274519683
Iters:  56 ; Mean IoU is 0.6831815179049975
Iters:  58 ; Mean IoU is 0.6831049623014614
Iters:  60 ; Mean IoU is 0.6794405766980195
Iters:  61 ; Mean IoU is 0.6952444855258226
Iters:  61 ; Mean IoU is 0.6952444855258226
Iters:  63 ; Mean IoU is 0.6888251406855367
Iters:  64 ; Mean IoU is 0.6903545568169527
Iters:  66 ; Mean IoU is 0.6903887587564954
Iters:  68 ; Mean IoU is 0.6833557491184157
Iters:  69 ; Mean IoU is 0.6806651119310428
Iters:  71 ; Mean IoU is 0.6896961036127289
Iters:  73 ; Mean IoU is 0.6894138461981679
Iters:  74 ; Mean IoU is 0.6894645709238988
Iters:  76 ; Mean IoU is 0.6840341636138525
Iters:  78 ; Mean IoU is 0.6930128381064404
Iters:  79 ; Mean IoU is 0.6907682611321448
Iters:  81 ; Mean IoU is 0.6957980817070822
Iters:  81 ; Mean IoU is 0.6957980817070822
Iters:  82 ; Mean IoU is 0.6943371484936088
Iters:  84 ; Mean IoU is 0.6965980581342436
Iters:  84 ; Mean IoU is 0.6965980581342436
Iters:  86 ; Mean IoU is 0.6967721455900273
Iters:  86 ; Mean IoU is 0.6967721455900273
Iters:  87 ; Mean IoU is 0.697366697144526
Iters:  87 ; Mean IoU is 0.697366697144526
Iters:  89 ; Mean IoU is 0.6940354770455093
Iters:  91 ; Mean IoU is 0.6966050426575698
Iters:  92 ; Mean IoU is 0.696715600503617
Iters:  94 ; Mean IoU is 0.6950395694604602
Iters:  96 ; Mean IoU is 0.6927292537693932
Iters:  97 ; Mean IoU is 0.6952500343286766
Iters:  99 ; Mean IoU is 0.6940245459015632
Iters:  100 ; Mean IoU is 0.6966161858663467
Iters:  102 ; Mean IoU is 0.6920999243670102
Iters:  104 ; Mean IoU is 0.6941793785996422
Iters:  105 ; Mean IoU is 0.6943213017730103
Iters:  107 ; Mean IoU is 0.6943670451509087
Iters:  109 ; Mean IoU is 0.7008025350833934
Iters:  109 ; Mean IoU is 0.7008025350833934
Iters:  110 ; Mean IoU is 0.6909623022278736
Iters:  112 ; Mean IoU is 0.6934955646425995
Iters:  114 ; Mean IoU is 0.6965265274761896
Iters:  115 ; Mean IoU is 0.6939827023341524
Iters:  117 ; Mean IoU is 0.6949983354799736
Iters:  119 ; Mean IoU is 0.697274287747568
Iters:  120 ; Mean IoU is 0.6920785353336993
Iters:  122 ; Mean IoU is 0.6967439962433029
Iters:  123 ; Mean IoU is 0.6963351053800084
Iters:  125 ; Mean IoU is 0.6979013037917121
Iters:  127 ; Mean IoU is 0.6983098211855939
Iters:  128 ; Mean IoU is 0.6978794634525611
Iters:  130 ; Mean IoU is 0.6997131300792091
Iters:  132 ; Mean IoU is 0.7018745262342401
Iters:  132 ; Mean IoU is 0.7018745262342401
Iters:  133 ; Mean IoU is 0.6971085638606146
Iters:  135 ; Mean IoU is 0.6999955025746903
