Iters:  2 ; Mean IoU is 0.45479272448925057
Iters:  2 ; Mean IoU is 0.45479272448925057
Iters:  4 ; Mean IoU is 0.5688677717565086
Iters:  4 ; Mean IoU is 0.5688677717565086
Iters:  5 ; Mean IoU is 0.5530771490945569
Iters:  7 ; Mean IoU is 0.565230355261463
Iters:  9 ; Mean IoU is 0.6059758386390319
Iters:  9 ; Mean IoU is 0.6059758386390319
Iters:  10 ; Mean IoU is 0.6066662190145555
Iters:  10 ; Mean IoU is 0.6066662190145555
Iters:  12 ; Mean IoU is 0.6289126443964532
Iters:  12 ; Mean IoU is 0.6289126443964532
Iters:  14 ; Mean IoU is 0.6134638018397792
Iters:  15 ; Mean IoU is 0.6336914237392758
Iters:  15 ; Mean IoU is 0.6336914237392758
Iters:  17 ; Mean IoU is 0.645727715290211
Iters:  17 ; Mean IoU is 0.645727715290211
Iters:  19 ; Mean IoU is 0.6426802542205318
Iters:  20 ; Mean IoU is 0.6269567189193198
Iters:  22 ; Mean IoU is 0.6525423449277034
Iters:  22 ; Mean IoU is 0.6525423449277034
Iters:  23 ; Mean IoU is 0.6580631845345921
Iters:  23 ; Mean IoU is 0.6580631845345921
Iters:  25 ; Mean IoU is 0.6709367180226017
Iters:  25 ; Mean IoU is 0.6709367180226017
Iters:  27 ; Mean IoU is 0.6758945410094995
Iters:  27 ; Mean IoU is 0.6758945410094995
Iters:  28 ; Mean IoU is 0.6686495656905611
Iters:  30 ; Mean IoU is 0.6743543533196737
Iters:  32 ; Mean IoU is 0.6661861225115919
Iters:  33 ; Mean IoU is 0.6747425036132829
Iters:  35 ; Mean IoU is 0.6765344326924297
Iters:  35 ; Mean IoU is 0.6765344326924297
Iters:  37 ; Mean IoU is 0.6825263117612718
Iters:  37 ; Mean IoU is 0.6825263117612718
Iters:  38 ; Mean IoU is 0.6793772773180303
Iters:  40 ; Mean IoU is 0.6833337988374723
Iters:  40 ; Mean IoU is 0.6833337988374723
Iters:  41 ; Mean IoU is 0.6782293948954583
Iters:  43 ; Mean IoU is 0.6914023500324917
Iters:  43 ; Mean IoU is 0.6914023500324917
Iters:  45 ; Mean IoU is 0.6845933687790395
Iters:  46 ; Mean IoU is 0.6763545464352394
Iters:  48 ; Mean IoU is 0.6815767611747466
Iters:  50 ; Mean IoU is 0.6912486937836763
Iters:  51 ; Mean IoU is 0.6820565604538656
Iters:  53 ; Mean IoU is 0.687708230264794
Iters:  55 ; Mean IoU is 0.6909280130882399
Iters:  56 ; Mean IoU is 0.6879995901612498
Iters:  58 ; Mean IoU is 0.694221664689769
Iters:  58 ; Mean IoU is 0.694221664689769
Iters:  60 ; Mean IoU is 0.691613167529817
Iters:  61 ; Mean IoU is 0.6954330552559624
Iters:  61 ; Mean IoU is 0.6954330552559624
Iters:  63 ; Mean IoU is 0.6811602380990784
Iters:  64 ; Mean IoU is 0.6866084181942852
Iters:  66 ; Mean IoU is 0.691167995598243
Iters:  68 ; Mean IoU is 0.687840660736246
Iters:  69 ; Mean IoU is 0.6958408213954169
Iters:  69 ; Mean IoU is 0.6958408213954169
Iters:  71 ; Mean IoU is 0.6968389141113972
Iters:  71 ; Mean IoU is 0.6968389141113972
Iters:  73 ; Mean IoU is 0.7007443911623634
Iters:  73 ; Mean IoU is 0.7007443911623634
Iters:  74 ; Mean IoU is 0.7013969296345237
Iters:  74 ; Mean IoU is 0.7013969296345237
Iters:  76 ; Mean IoU is 0.6915384244776694
Iters:  78 ; Mean IoU is 0.6991402782785723
Iters:  79 ; Mean IoU is 0.6977220427632889
Iters:  81 ; Mean IoU is 0.7030917571782278
Iters:  81 ; Mean IoU is 0.7030917571782278
Iters:  82 ; Mean IoU is 0.7015199590459574
Iters:  84 ; Mean IoU is 0.69403448286742
Iters:  86 ; Mean IoU is 0.7043762877123302
Iters:  86 ; Mean IoU is 0.7043762877123302
Iters:  87 ; Mean IoU is 0.7017645255778491
Iters:  89 ; Mean IoU is 0.7017323302566387
Iters:  91 ; Mean IoU is 0.6995750869509761
Iters:  92 ; Mean IoU is 0.7011516614269384
Iters:  94 ; Mean IoU is 0.7008544410358587
Iters:  96 ; Mean IoU is 0.6984948821031363
Iters:  97 ; Mean IoU is 0.7031575120578272
Iters:  99 ; Mean IoU is 0.7002783114956158
Iters:  100 ; Mean IoU is 0.704644808736474
Iters:  100 ; Mean IoU is 0.704644808736474
Iters:  102 ; Mean IoU is 0.702870067722606
Iters:  104 ; Mean IoU is 0.6998955339571251
Iters:  105 ; Mean IoU is 0.70417935972378
Iters:  107 ; Mean IoU is 0.6983237315638998
Iters:  109 ; Mean IoU is 0.703316110898473
Iters:  110 ; Mean IoU is 0.7009790363185661
Iters:  112 ; Mean IoU is 0.7003255191537306
Iters:  114 ; Mean IoU is 0.702205868318797
Iters:  115 ; Mean IoU is 0.6977019497658544
Iters:  117 ; Mean IoU is 0.7019033110653167
Iters:  119 ; Mean IoU is 0.699263214993646
Iters:  120 ; Mean IoU is 0.7031227391538101
Iters:  122 ; Mean IoU is 0.7059825830255643
Iters:  122 ; Mean IoU is 0.7059825830255643
Iters:  123 ; Mean IoU is 0.7059696385458514
Iters:  125 ; Mean IoU is 0.7026531051602919
Iters:  127 ; Mean IoU is 0.7027056470142911
Iters:  128 ; Mean IoU is 0.7091903588256881
Iters:  128 ; Mean IoU is 0.7091903588256881
Iters:  130 ; Mean IoU is 0.7046310215519139
Iters:  132 ; Mean IoU is 0.7069685174279814
Iters:  133 ; Mean IoU is 0.7064722318594133
Iters:  135 ; Mean IoU is 0.7071135823566269
Iters:  137 ; Mean IoU is 0.709174733747712
Iters:  138 ; Mean IoU is 0.7061996320307449
Iters:  140 ; Mean IoU is 0.7074945313328393
Iters:  141 ; Mean IoU is 0.7114816177660113
Iters:  141 ; Mean IoU is 0.7114816177660113
Iters:  143 ; Mean IoU is 0.7089744672936293
Iters:  145 ; Mean IoU is 0.7051583001869053
Iters:  146 ; Mean IoU is 0.7068898572503933
Iters:  148 ; Mean IoU is 0.7022702825578309
Iters:  150 ; Mean IoU is 0.7039723174659626
Iters:  151 ; Mean IoU is 0.7063107599142651
Iters:  153 ; Mean IoU is 0.7043800152589442
Iters:  155 ; Mean IoU is 0.7027287209627969
Iters:  156 ; Mean IoU is 0.7047667970050762
Iters:  158 ; Mean IoU is 0.7059008345201726
Iters:  160 ; Mean IoU is 0.7033695528285325
Iters:  161 ; Mean IoU is 0.7078262296712212
Iters:  163 ; Mean IoU is 0.7074724928310319
Iters:  164 ; Mean IoU is 0.7087793606764178
Iters:  166 ; Mean IoU is 0.7078018523689777
Iters:  168 ; Mean IoU is 0.7038409071011594
Iters:  169 ; Mean IoU is 0.7053971012035871
Iters:  171 ; Mean IoU is 0.7045163074441003
Iters:  173 ; Mean IoU is 0.7058048744816164
Iters:  174 ; Mean IoU is 0.7079529116115938
Iters:  176 ; Mean IoU is 0.710985269436705
Iters:  178 ; Mean IoU is 0.7099902835522292
Iters:  179 ; Mean IoU is 0.7096208131833182
Iters:  181 ; Mean IoU is 0.7083868911706627
Iters:  182 ; Mean IoU is 0.7112011691345476
Iters:  184 ; Mean IoU is 0.7111315225103793
Iters:  186 ; Mean IoU is 0.7086448517284941
Iters:  187 ; Mean IoU is 0.708548811511035
Iters:  189 ; Mean IoU is 0.7088092951363926
Iters:  191 ; Mean IoU is 0.7101123913997016
Iters:  192 ; Mean IoU is 0.7086145826064649
Iters:  194 ; Mean IoU is 0.7127431574389067
Iters:  194 ; Mean IoU is 0.7127431574389067
Iters:  196 ; Mean IoU is 0.7054106472648369
Iters:  197 ; Mean IoU is 0.7072903878088225
Iters:  199 ; Mean IoU is 0.7083436829717006
Iters:  200 ; Mean IoU is 0.7097147430583238
Iters:  202 ; Mean IoU is 0.7081739434031915
Iters:  204 ; Mean IoU is 0.7078114764983388
Iters:  205 ; Mean IoU is 0.7090935720812874
Iters:  207 ; Mean IoU is 0.7082420105013588
Iters:  209 ; Mean IoU is 0.7092066947155031
Iters:  210 ; Mean IoU is 0.7078515833125264
Iters:  212 ; Mean IoU is 0.7105336086543999
Iters:  214 ; Mean IoU is 0.711946582590915
Iters:  215 ; Mean IoU is 0.7120076289771653
Iters:  217 ; Mean IoU is 0.7113609506005714
Iters:  219 ; Mean IoU is 0.7111610124988763
Iters:  220 ; Mean IoU is 0.7089759950415425
Iters:  222 ; Mean IoU is 0.7101530681430365
Iters:  223 ; Mean IoU is 0.7102115733619799
Iters:  225 ; Mean IoU is 0.7112127973418955
Iters:  227 ; Mean IoU is 0.7100723292674714
Iters:  228 ; Mean IoU is 0.7089799059406073
Iters:  230 ; Mean IoU is 0.7114813636138839
Iters:  232 ; Mean IoU is 0.7109831817869101
Iters:  233 ; Mean IoU is 0.7105945848230251
Iters:  235 ; Mean IoU is 0.7101691602365612
Iters:  237 ; Mean IoU is 0.7087379891457524
Iters:  238 ; Mean IoU is 0.7080513702266612
Iters:  240 ; Mean IoU is 0.7100112651740759
Iters:  241 ; Mean IoU is 0.7116032469456219
Iters:  243 ; Mean IoU is 0.711061382814234
Iters:  245 ; Mean IoU is 0.7113201961631285
Iters:  246 ; Mean IoU is 0.7101705613467268
Iters:  248 ; Mean IoU is 0.7093324563046229
Iters:  250 ; Mean IoU is 0.7103582060259126
Iters:  251 ; Mean IoU is 0.7097178425152522
Iters:  253 ; Mean IoU is 0.7124921863439886
Iters:  255 ; Mean IoU is 0.7106101956617684
Iters:  256 ; Mean IoU is 0.7116850331995858
Iters:  258 ; Mean IoU is 0.710661295593633
Iters:  260 ; Mean IoU is 0.7111135134320811
Iters:  261 ; Mean IoU is 0.7099436531867485
Iters:  263 ; Mean IoU is 0.7116267107484264
Iters:  264 ; Mean IoU is 0.711908731653566
Iters:  266 ; Mean IoU is 0.7098293087557006
Iters:  268 ; Mean IoU is 0.7109297969514483
Iters:  269 ; Mean IoU is 0.7103517523745415
Iters:  271 ; Mean IoU is 0.7107773186870536
Iters:  273 ; Mean IoU is 0.7120148825556265
Iters:  274 ; Mean IoU is 0.7119465348935338
Iters:  276 ; Mean IoU is 0.7102775455035671
Iters:  278 ; Mean IoU is 0.710846295120535
Iters:  279 ; Mean IoU is 0.7130859546676339
Iters:  279 ; Mean IoU is 0.7130859546676339
Iters:  281 ; Mean IoU is 0.711453345555888
Iters:  282 ; Mean IoU is 0.7086741934266346
Iters:  284 ; Mean IoU is 0.7101046244473627
Iters:  286 ; Mean IoU is 0.7104139015849097
Iters:  287 ; Mean IoU is 0.7106417046828752
Iters:  289 ; Mean IoU is 0.7105832221605045
Iters:  291 ; Mean IoU is 0.7113796958567823
Iters:  292 ; Mean IoU is 0.7112573536293282
Iters:  294 ; Mean IoU is 0.7113634187069714
Iters:  296 ; Mean IoU is 0.7106443465903909
Iters:  297 ; Mean IoU is 0.7101242089073159
Iters:  299 ; Mean IoU is 0.71062866349617
Iters:  300 ; Mean IoU is 0.7108817677746725
Iters:  302 ; Mean IoU is 0.7115409926824663
Iters:  304 ; Mean IoU is 0.7117147831427503
Iters:  305 ; Mean IoU is 0.7111665839008254
Iters:  307 ; Mean IoU is 0.711600849105696
Iters:  309 ; Mean IoU is 0.710709966002739
Iters:  310 ; Mean IoU is 0.712778646053798
Iters:  312 ; Mean IoU is 0.711492554838769
Iters:  314 ; Mean IoU is 0.7112106888925441
Iters:  315 ; Mean IoU is 0.7113679678093361
Iters:  317 ; Mean IoU is 0.7111522899197605
Iters:  319 ; Mean IoU is 0.7111372985223868
Iters:  320 ; Mean IoU is 0.7119754599689324
Iters:  322 ; Mean IoU is 0.7118189918808299
Iters:  323 ; Mean IoU is 0.7114926725320987
Iters:  325 ; Mean IoU is 0.7116383660383921
Iters:  327 ; Mean IoU is 0.7109315758583451
Iters:  328 ; Mean IoU is 0.7114945564104451
